27171,336
31254,391
31116,442
29398,414
31521,412
32181,412
26567,385
32981,391
36111,482
36652,512
36595,541
35551,526
36614,511
31118,482
38772,443
41811,496
41322,485
43182,492
44489,524
44376,481
37975,481
44159,511
45219,511
46232,564
45882,584
45576,585
38617,474
29163,449
31548,435
41111,447
44684,521
44879,547
47915,551
44281,512
38173,448
45913,491
45674,559
51356,577
47638,671
51211,714
46253,514
38311,491
45231,496
46963,471
48268,551
48648,563
49881,517
43893,518
36471,488
45148,481
51129,578
53371,651
54366,691
55839,712
54144,717
46791,587
55722,579
61871,1133
62212,837
63371,895
67718,681
63519,731
55342,716
66732,816
74383,918
73272,926
71496,964
78524,971
72149,986
61267,884
74442,913
75829,941
79476,1169
81484,1195
86821,1181
81472,1179
71589,776
82171,1139
88611,1124
85362,1189
86152,1141
86518,1129
83347,1185
75183,1153
86961,1131
92615,1133
93337,1247
96424,1174
97894,1132
91123,1291
83819,1154
92171,1136
94372,1114
97571,1211
96551,1219
95735,1172
89716,1115
75819,1133
91812,1116
91632,1165
86432,1189
83341,1196
83883,1143
78357,1115
69921,759
78512,971
78761,948
76472,1121
77266,1157
75761,1123
67151,1159
61975,848
61418,836
69239,912
69878,945
68898,983
69652,977
64531,1192
55179,876
57981,941
63491,944
65112,996
64553,1117
66999,942
61963,834
53611,871
62164,1117
64399,861
61537,933
62538,886
56282,914
52519,857
52151,813
52972,771
54735,853
57118,764
55178,779
52123,775
48513,768
47713,654
49931,718
48661,715
48916,757
49311,741
45721,1129
37724,648
37148,587
41425,681
38912,543
34884,671
34956,687
32695,616
29429,582
28498,553
28711,511
28637,551
27114,519
26516,475
24879,487
22752,482
22252,467
24248,425
24851,613
22771,442
21913,379
19148,434
18653,517
18522,418
19459,381
19916,411
18552,384
17296,417
16922,418
15968,465
14933,312
14821,445
15413,316
14516,375
13586,336
12881,334
11974,2113
11667,381
11512,325
11929,311
11458,386
11956,396
9996,357
9985,279
9987,331
9983,216
9971,287
9887,294
9851,273
9314,261
8919,217
8171,214
8392,231
8381,193
7964,265
7466,175
6566,194
6387,171
6535,146
6977,154
6767,147
6654,137
6188,148
5619,132
5611,141
4971,134
5242,157
4987,121
3971,113
3967,111
3722,134
3525,122
3614,87
4213,97
3277,128
3321,95
3391,113
3561,89
2958,126
3911,195
2553,72
2644,83
2293,71
1993,73
1718,67
1897,73
1543,62
1396,48
1991,49
1429,57
1684,37
1419,41
1384,51
1335,47
1553,36
1334,27
6189,166
6388,142
6311,175
6133,165
6158,171
5292,133
5754,127
6189,151
6127,111
5813,124
8369,156
5533,118
5192,136
4617,131
6267,169
5418,125
5828,169
4917,127
5534,114
4192,119
4442,118
4361,111
4998,96
4792,78
4798,97
4265,111
3817,97
3535,85
4116,63
5272,111
5444,114
4173,97
3771,75
3779,72
2853,75
3881,74
4262,98
3778,94
4165,89
3356,113
2973,112
2618,111
2696,74
3143,87
2897,81
3565,89
4129,111
3521,111
3222,112
3732,94
4171,128
4369,118
4432,112
4267,123
3612,117
3373,116
4115,81
4311,84
4311,79
4411,112
4127,129
3916,92
3267,91
4497,79
4294,88
4194,97
4851,118
4538,98
4156,121
3622,112
3992,96
4117,83
4317,116
4174,116
4284,139
4112,128
3519,87
3874,78
4494,91
4823,113
4634,128
4465,141
4171,161
4176,124
3989,115
4168,112
3891,114
3635,122
3963,135
3517,124
3141,118
3625,73
3817,116
3737,88
3861,121
3317,116
3146,111
2881,115
3444,85
3128,118
3269,82
3622,134
3175,111
2775,88
2743,74
2858,82
3318,92
3113,115
2719,121
2316,86
2447,99
1877,79
2137,86
2191,94
2197,82
2266,72
1912,69
1673,71
1821,57
2181,79
2345,51
2317,53
2198,65
1942,79
1693,59
1687,42
1893,65
2277,65
2473,72
1882,69
1815,64
1922,86
1679,66
1519,43
1561,62
2141,73
1914,83
2381,74
1748,63
1525,57
1492,67
1868,49
1761,89
1916,117
1882,139
1655,81
1693,96
1639,127
1752,59
1462,84
1574,76
1522,87
1591,54
1282,51
1681,71
1671,66
1611,52
2657,58
1853,51
1268,68
1219,71
1617,82
1447,53
1311,49
1624,53
1385,58
1293,71
1182,51
1198,34
1385,37
1241,63
1178,47
1113,38
1151,35
954,5
862,6
1226,56
1141,34
1331,63
1131,45
1116,33
1117,64
857,3
1114,43
1111,48
979,1
1241,36
1143,41
847,2
672,1
993,1
713,9
585,3
684,5
619,2
467,8
711,1
557,3
678,4
687,3
686,5
415,7
479,9
526,1
949,5
634,8
973,6
693,1
486,1
496,3
489,9
529,3
491,3
568,5
689,1
484,6
233,8
387,4
533,6
336,3
338,5
367,3
484,12
395,9
349,4
292,1
433,12
347,12
261,1
415,12
214,2
275,3
396,1
436,2
357,2
283,9
375,6
185,12
327,7
325,5
417,4
381,7
297,1
282,1
316,6
399,6
331,1
219,6
337,1
218,9
247,2
218,1
181,12
116,1
196,1
113,3
149,1
114,4
131,2
119,5
113,1
64,1
141,3
82,1
55,4
